epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_TKG,fees_epoch_TKR_at_main,reward_epoch_total_value_TKG_only,coinbase_cum_TKG,fees_cum_TKR_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg
25,OV_1,MAIN_1,9603,40.013,9596,0,7,0,7,0.07,423.9584999939859,40.0001,424.91809999374505,40.0003,39.9833,0.9596,0.0,0.9596,24.9181,0.0,0,0.0,0,0,0.0,0.0,0.0,192.06,0.0,0.0
25,OV_2,MAIN_2,7249,30.204,7236,6,7,0,13,0.18,317.96959999548926,30.0001,318.6931999953076,30.0006,30.15,0.7236,0.0,0.7236,18.6932,0.0,0,0.0,0,0,0.0,0.0,0.0,144.98,0.0,0.0
25,OV_3,MAIN_3,7148,29.783,7105,22,0,21,43,0.6,317.96679999548996,29.9998,318.6772999953116,29.9991,29.6042,0.7105,0.0,0.7105,18.6773,0.0,0,0.0,0,0,0.0,0.0,0.0,142.96,0.0,0.0
26,OV_1,MAIN_1,9565,39.854,9527,38,0,0,38,0.4,424.91809999374505,40.0003,425.8707999935059,39.9997,39.6958,0.9527,0.0,0.9527,25.8708,0.0,0,0.0,0,0,0.0,0.0,0.0,191.3,0.0,0.0
26,OV_2,MAIN_2,7120,29.667,7116,0,4,0,4,0.06,318.6931999953076,30.0006,319.404799995129,30.0,29.65,0.7116,0.0,0.7116,19.4048,0.0,0,0.0,0,0,0.0,0.0,0.0,142.4,0.0,0.0
26,OV_3,MAIN_3,7315,30.479,7312,0,0,3,3,0.04,318.6772999953116,29.9991,319.40849999512807,30.0003,30.4667,0.7312,0.0,0.7312,19.4085,0.0,0,0.0,0,0,0.0,0.0,0.0,146.3,0.0,0.0
27,OV_1,MAIN_1,9705,40.438,9686,0,0,19,19,0.2,425.8707999935059,39.9997,426.83939999326276,40.0007,40.3583,0.9686,0.0,0.9686,26.8394,0.0,0,0.0,0,0,0.0,0.0,0.0,194.1,0.0,0.0
27,OV_2,MAIN_2,7208,30.033,7175,33,0,0,33,0.46,319.404799995129,30.0,320.1222999949489,29.9999,29.8958,0.7175,0.0,0.7175,20.1223,0.0,0,0.0,0,0,0.0,0.0,0.0,144.16,0.0,0.0
27,OV_3,MAIN_3,7087,29.529,7087,0,0,0,0,0.0,319.40849999512807,30.0003,320.11719999495017,29.9994,29.5292,0.7087,0.0,0.7087,20.1172,0.0,0,0.0,0,0,0.0,0.0,0.0,141.74,0.0,0.0
28,OV_1,MAIN_1,9552,39.8,9552,0,0,0,0,0.0,426.83939999326276,40.0007,427.794599993023,40.0004,39.8,0.9552,0.0,0.9552,27.7946,0.0,0,0.0,0,0,0.0,0.0,0.0,191.04,0.0,0.0
28,OV_2,MAIN_2,7223,30.096,7210,10,0,3,13,0.18,320.1222999949489,29.9999,320.8432999947679,30.0,30.0417,0.721,0.0,0.721,20.8433,0.0,0,0.0,0,0,0.0,0.0,0.0,144.46,0.0,0.0
28,OV_3,MAIN_3,7225,30.104,7220,0,3,2,5,0.07,320.11719999495017,29.9994,320.83919999476893,29.9996,30.0833,0.722,0.0,0.722,20.8392,0.0,0,0.0,0,0,0.0,0.0,0.0,144.5,0.0,0.0
29,OV_1,MAIN_1,9519,39.663,9495,14,10,0,24,0.25,427.794599993023,40.0004,428.74409999278464,39.9995,39.5625,0.9495,0.0,0.9495,28.7441,0.0,0,0.0,0,0,0.0,0.0,0.0,190.38,0.0,0.0
29,OV_2,MAIN_2,7293,30.387,7289,0,0,4,4,0.05,320.8432999947679,30.0,321.57219999458493,30.0009,30.3708,0.7289,0.0,0.7289,21.5722,0.0,0,0.0,0,0,0.0,0.0,0.0,145.86,0.0,0.0
29,OV_3,MAIN_3,7188,29.95,7188,0,0,0,0,0.0,320.83919999476893,29.9996,321.5579999945885,29.9996,29.95,0.7188,0.0,0.7188,21.558,0.0,0,0.0,0,0,0.0,0.0,0.0,143.76,0.0,0.0
30,OV_1,MAIN_1,9705,40.438,9704,0,0,1,1,0.01,428.74409999278464,39.9995,429.71449999254105,40.0005,40.4333,0.9704,0.0,0.9704,29.7145,0.0,0,0.0,0,0,0.0,0.0,0.0,194.1,0.0,0.0
30,OV_2,MAIN_2,7100,29.583,7097,0,0,3,3,0.04,321.57219999458493,30.0009,322.2818999944068,30.0,29.5708,0.7097,0.0,0.7097,22.2819,0.0,0,0.0,0,0,0.0,0.0,0.0,142.0,0.0,0.0
30,OV_3,MAIN_3,7195,29.979,7190,0,5,0,5,0.07,321.5579999945885,29.9996,322.276999994408,29.9995,29.9583,0.719,0.0,0.719,22.277,0.0,0,0.0,0,0,0.0,0.0,0.0,143.9,0.0,0.0
31,OV_1,MAIN_1,9670,40.292,9657,0,0,13,13,0.13,429.71449999254105,40.0005,430.68019999229864,40.0013,40.2375,0.9657,0.0,0.9657,30.6802,0.0,0,0.0,0,0,0.0,0.0,0.0,193.4,0.0,0.0
31,OV_2,MAIN_2,7169,29.871,7154,15,0,0,15,0.21,322.2818999944068,30.0,322.9972999942272,29.9998,29.8083,0.7154,0.0,0.7154,22.9973,0.0,0,0.0,0,0,0.0,0.0,0.0,143.38,0.0,0.0
31,OV_3,MAIN_3,7161,29.837,7110,35,6,10,51,0.71,322.276999994408,29.9995,322.98799999422954,29.9989,29.625,0.711,0.0,0.711,22.988,0.0,0,0.0,0,0,0.0,0.0,0.0,143.22,0.0,0.0
32,OV_1,MAIN_1,9690,40.375,9669,13,0,8,21,0.22,430.68019999229864,40.0013,431.6470999920559,40.0023,40.2875,0.9669,0.0,0.9669,31.6471,0.0,0,0.0,0,0,0.0,0.0,0.0,193.8,0.0,0.0
32,OV_2,MAIN_2,7266,30.275,7213,5,0,48,53,0.73,322.9972999942272,29.9998,323.71859999404614,30.0001,30.0542,0.7213,0.0,0.7213,23.7186,0.0,0,0.0,0,0,0.0,0.0,0.0,145.32,0.0,0.0
32,OV_3,MAIN_3,7044,29.35,7033,0,0,11,11,0.16,322.98799999422954,29.9989,323.691299994053,29.9976,29.3042,0.7033,0.0,0.7033,23.6913,0.0,0,0.0,0,0,0.0,0.0,0.0,140.88,0.0,0.0
33,OV_1,MAIN_1,9693,40.387,9678,1,2,12,15,0.15,431.6470999920559,40.0023,432.614899991813,40.0032,40.325,0.9678,0.0,0.9678,32.6149,0.0,0,0.0,0,0,0.0,0.0,0.0,193.86,0.0,0.0
33,OV_2,MAIN_2,7092,29.55,7064,0,19,9,28,0.39,323.71859999404614,30.0001,324.4249999938688,29.999,29.4333,0.7064,0.0,0.7064,24.425,0.0,0,0.0,0,0,0.0,0.0,0.0,141.84,0.0,0.0
