epoch,overflow,main,assigned_slots,ok,skipped,invalid,delayed,penalty_slots_residual,penalty_score,effective_stake,stake_share_pct,delivered_slots_share_pct,bad_slots_abs,bad_slots_pct_node,reward_epoch,reward_epoch_share_pct,reward_cum
14,OF_B,MAIN_B,780,780,0,0,0,0,0.0,101.1127,33.33,32.5,0,0.0,0.078,32.5,1.1907
14,OF_C,MAIN_C,804,804,0,0,0,0,0.0,101.11939999999997,33.33,33.5,0,0.0,0.0804,33.5,1.1998
15,OF_A,MAIN_A,808,808,0,0,0,0,0.0,101.20949999999998,33.34,33.67,0,0.0,0.0808,33.67,1.2903
15,OF_B,MAIN_B,796,796,0,0,0,0,0.0,101.1907,33.33,33.17,0,0.0,0.0796,33.17,1.2703
15,OF_C,MAIN_C,796,796,0,0,0,0,0.0,101.19979999999997,33.33,33.17,0,0.0,0.0796,33.17,1.2794
16,OF_A,MAIN_A,822,822,0,0,0,0,0.0,101.29029999999997,33.34,34.25,0,0.0,0.0822,34.25,1.3725
16,OF_B,MAIN_B,794,794,0,0,0,0,0.0,101.2703,33.33,33.08,0,0.0,0.0794,33.08,1.3497
16,OF_C,MAIN_C,784,784,0,0,0,0,0.0,101.27939999999997,33.33,32.67,0,0.0,0.0784,32.67,1.3578
17,OF_A,MAIN_A,791,791,0,0,0,0,0.0,101.37249999999997,33.34,32.96,0,0.0,0.0791,32.96,1.4516
17,OF_B,MAIN_B,821,821,0,0,0,0,0.0,101.34970000000001,33.33,34.21,0,0.0,0.0821,34.21,1.4318
17,OF_C,MAIN_C,788,788,0,0,0,0,0.0,101.35779999999997,33.33,32.83,0,0.0,0.0788,32.83,1.4366
18,OF_A,MAIN_A,840,840,0,0,0,0,0.0,101.45159999999997,33.34,35.0,0,0.0,0.084,35.0,1.5356
18,OF_B,MAIN_B,796,796,0,0,0,0,0.0,101.43180000000001,33.33,33.17,0,0.0,0.0796,33.17,1.5114
18,OF_C,MAIN_C,764,764,0,0,0,0,0.0,101.43659999999997,33.33,31.83,0,0.0,0.0764,31.83,1.513
19,OF_A,MAIN_A,826,826,0,0,0,0,0.0,101.53559999999997,33.34,34.42,0,0.0,0.0826,34.42,1.6182
19,OF_B,MAIN_B,804,804,0,0,0,0,0.0,101.51140000000001,33.33,33.5,0,0.0,0.0804,33.5,1.5918
19,OF_C,MAIN_C,770,770,0,0,0,0,0.0,101.51299999999998,33.33,32.08,0,0.0,0.077,32.08,1.59
