epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_TKG,fees_epoch_TKR_at_main,reward_epoch_total_value_TKG_only,coinbase_cum_TKG,fees_cum_TKR_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg
35,OV_3,MAIN_3,7204,30.017,7204,0,0,0,0,0.0,325.212999993671,30.0463,325.9333999934902,30.0476,30.0167,0.7204,0.0,0.7204,25.9334,0.082,0,0.0,0,0,0.0,0.0,7204.0,144.0,0.0,0.0
36,OV_1,MAIN_1,9614,40.058,9134,0,480,0,480,4.99,432.8247999917603,39.9018,433.738199991531,39.8995,38.0583,0.9134,0.0,0.9134,33.7382,0.1031,0,0.0,480,480,100.0,1536.0,9134.0,192.0,0.0,0.0
36,OV_2,MAIN_2,7254,30.225,7254,0,0,0,0,0.0,325.9654999934821,30.0506,326.69089999330004,30.0523,30.225,0.7254,0.0,0.7254,26.6909,0.0845,0,0.0,0,0,0.0,0.0,7254.0,145.0,0.0,0.0
36,OV_3,MAIN_3,7132,29.717,7132,0,0,0,0,0.0,325.9333999934902,30.0476,326.64659999331116,30.0482,29.7167,0.7132,0.0,0.7132,26.6466,0.082,0,0.0,0,0,0.0,0.0,7132.0,142.0,0.0,0.0
37,OV_1,MAIN_1,9603,40.013,9123,0,480,0,480,5.0,433.738199991531,39.8995,434.650499991302,39.8971,38.0125,0.9123,0.0,0.9123,34.6505,0.1031,0,0.0,480,480,100.0,1536.0,9123.0,192.0,0.0,0.0
37,OV_2,MAIN_2,7264,30.267,7264,0,0,0,0,0.0,326.69089999330004,30.0523,327.4172999931177,30.0541,30.2667,0.7264,0.0,0.7264,27.4173,0.0845,0,0.0,0,0,0.0,0.0,7264.0,145.0,0.0,0.0
37,OV_3,MAIN_3,7133,29.721,7133,0,0,0,0,0.0,326.64659999331116,30.0482,327.3598999931321,30.0488,29.7208,0.7133,0.0,0.7133,27.3599,0.082,0,0.0,0,0,0.0,0.0,7133.0,142.0,0.0,0.0
38,OV_1,MAIN_1,9616,40.067,9136,0,480,0,480,4.99,434.650499991302,39.8971,435.5640999910727,39.8949,38.0667,0.9136,0.0,0.9136,35.5641,0.1031,0,0.0,480,480,100.0,1536.0,9136.0,192.0,0.0,0.0
38,OV_2,MAIN_2,7272,30.3,7272,0,0,0,0,0.0,327.4172999931177,30.0541,328.14449999293515,30.0559,30.3,0.7272,0.0,0.7272,28.1445,0.0845,0,0.0,0,0,0.0,0.0,7272.0,145.0,0.0,0.0
38,OV_3,MAIN_3,7112,29.633,7112,0,0,0,0,0.0,327.3598999931321,30.0488,328.0710999929536,30.0492,29.6333,0.7112,0.0,0.7112,28.0711,0.082,0,0.0,0,0,0.0,0.0,7112.0,142.0,0.0,0.0
