epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
8,OV_3,MAIN_3,11883,49.512,11883,0,0,0,0,0.0,308.5804999978461,49.5655,309.76879999754783,49.5748,49.5125,1.1883,0.0002,1.1883,9.7688,0.0031,0,0.0,0,0,0.0,0.0,11883.0,2376.0,0.0,0.0,1.0,2,0.495125,0,0,0,0
9,OV_1,MAIN_1,213,0.887,160,0,53,0,53,24.88,5.306455788147046,0.8492,5.208299954625052,0.8305,0.6667,0.016,0.0,0.016,1.7943,0.0003,15229,76.145,53,53,100.0,446.0,160.0,42.0,14943.0,15229.0,0.7511737089201878,2,0.008875,1,0,0,0
9,OV_2,MAIN_2,11999,49.996,11999,0,0,0,0,0.0,309.776099997546,49.576,310.9759999972448,49.587,49.9958,1.1999,0.0002,1.1999,10.976,0.004,0,0.0,0,0,0.0,0.0,11999.0,2399.0,0.0,0.0,1.0,2,0.49995833333333334,0,0,0,0
9,OV_3,MAIN_3,11788,49.117,11788,0,0,0,0,0.0,309.76879999754783,49.5748,310.9475999972519,49.5825,49.1167,1.1788,0.0002,1.1788,10.9476,0.0033,0,0.0,0,0,0.0,0.0,11788.0,2357.0,0.0,0.0,1.0,2,0.49116666666666664,0,0,0,0
10,OV_1,MAIN_1,199,0.829,150,0,49,0,49,24.62,5.208299954625052,0.8305,5.121525715372454,0.8137,0.625,0.015,0.0,0.015,1.8093,0.0003,15491,77.455,49,49,100.0,412.0,150.0,39.0,15229.0,15491.0,0.7537688442211056,2,0.008291666666666666,1,0,0,0
10,OV_2,MAIN_2,12039,50.163,12039,0,0,0,0,0.0,310.9759999972448,49.587,312.1798999969426,49.5976,50.1625,1.2039,0.0003,1.2039,12.1799,0.0043,0,0.0,0,0,0.0,0.0,12039.0,2407.0,0.0,0.0,1.0,2,0.501625,0,0,0,0
10,OV_3,MAIN_3,11762,49.008,11762,0,0,0,0,0.0,310.9475999972519,49.5825,312.1237999969567,49.5887,49.0083,1.1762,0.0003,1.1762,12.1238,0.0036,0,0.0,0,0,0.0,0.0,11762.0,2352.0,0.0,0.0,1.0,2,0.4900833333333333,0,0,0,0
11,OV_1,MAIN_1,200,0.833,150,0,50,0,50,25.0,5.121525715372454,0.8137,5.035076749571355,0.797,0.625,0.015,0.0,0.015,1.8243,0.0003,15761,78.805,50,50,100.0,420.0,150.0,40.0,15491.0,15761.0,0.75,2,0.008333333333333333,1,0,0,0
11,OV_2,MAIN_2,11922,49.675,11922,0,0,0,0,0.0,312.1798999969426,49.5976,313.3720999966433,49.6063,49.675,1.1922,0.0001,1.1922,13.3721,0.0044,0,0.0,0,0,0.0,0.0,11922.0,2384.0,0.0,0.0,1.0,2,0.49675,0,0,0,0
11,OV_3,MAIN_3,11878,49.492,11878,0,0,0,0,0.0,312.1237999969567,49.5887,313.3115999966585,49.5967,49.4917,1.1878,0.0002,1.1878,13.3116,0.0038,0,0.0,0,0,0.0,0.0,11878.0,2375.0,0.0,0.0,1.0,2,0.49491666666666667,0,0,0,0
