epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
11,OV_2,MAIN_2,7191,29.962,7177,0,5,9,14,0.19,307.89229999801887,29.9986,308.6099999978387,29.9986,29.9042,0.7177,0.0,0.7177,8.61,0.0,0,0.0,0,0,0.0,0.0,0.0,143.82,0.0,0.0,0.9980531219580031,1,0.299625,,,,
11,OV_3,MAIN_3,7258,30.242,7249,9,0,0,9,0.12,307.9207999980117,30.0014,308.6456999978297,30.002,30.2042,0.7249,0.0,0.7249,8.6457,0.0,0,0.0,0,0,0.0,0.0,0.0,145.16,0.0,0.0,0.9987599889776798,1,0.30241666666666667,,,,
12,OV_1,MAIN_1,9688,40.367,9682,0,0,6,6,0.06,411.4938999971148,39.9994,412.46209999687176,40.0003,40.3417,0.9682,0.0,0.9682,12.4621,0.0,0,0.0,0,0,0.0,0.0,0.0,193.76,0.0,0.0,0.9993806771263418,1,0.4036666666666667,,,,
12,OV_2,MAIN_2,7199,29.996,7199,0,0,0,0,0.0,308.6099999978387,29.9986,309.329899997658,29.9986,29.9958,0.7199,0.0,0.7199,9.3299,0.0,0,0.0,0,0,0.0,0.0,0.0,143.98,0.0,0.0,1.0,1,0.2999583333333333,,,,
12,OV_3,MAIN_3,7113,29.637,7103,10,0,0,10,0.14,308.6456999978297,30.002,309.35599999765145,30.0011,29.5958,0.7103,0.0,0.7103,9.356,0.0,0,0.0,0,0,0.0,0.0,0.0,142.26,0.0,0.0,0.9985941234359623,1,0.296375,,,,
13,OV_1,MAIN_1,9610,40.042,9599,0,2,9,11,0.11,412.46209999687176,40.0003,413.4219999966308,40.0005,39.9958,0.9599,0.0,0.9599,13.422,0.0,0,0.0,0,0,0.0,0.0,0.0,192.2,0.0,0.0,0.9988553590010406,1,0.40041666666666664,,,,
13,OV_2,MAIN_2,7172,29.883,7130,22,0,20,42,0.59,309.329899997658,29.9986,310.042899997479,29.9981,29.7083,0.713,0.0,0.713,10.0429,0.0,0,0.0,0,0,0.0,0.0,0.0,143.44,0.0,0.0,0.9941438929168991,1,0.29883333333333334,,,,
13,OV_3,MAIN_3,7218,30.075,7207,2,7,2,11,0.15,309.35599999765145,30.0011,310.07669999747054,30.0014,30.0292,0.7207,0.0,0.7207,10.0767,0.0,0,0.0,0,0,0.0,0.0,0.0,144.36,0.0,0.0,0.9984760321418675,1,0.30075,,,,
14,OV_1,MAIN_1,9571,39.879,9571,0,0,0,0,0.0,413.4219999966308,40.0005,414.37909999639055,40.0004,39.8792,0.9571,0.0,0.9571,14.3791,0.0,0,0.0,0,0,0.0,0.0,0.0,191.42,0.0,0.0,1.0,1,0.39879166666666666,,,,
14,OV_2,MAIN_2,7253,30.221,7234,12,0,7,19,0.26,310.042899997479,29.9981,310.76629999729744,29.9985,30.1417,0.7234,0.0,0.7234,10.7663,0.0,0,0.0,0,0,0.0,0.0,0.0,145.06,0.0,0.0,0.9973803943195919,1,0.30220833333333336,,,,
