epoch,node,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share
111,OV_3,MAIN_3,7319,30.496,7314,0,0,5,5,0.07,379.6611999800034,29.9916,380.3925999798198,29.9926,30.475,0.7314,0.0,0.7314,80.3926,0.0,0,0.0,0,0,0.0,0.0,0.0,146.38,0.0,0.0,0.9993168465637382,1,0.30495833333333333
112,OV_1,MAIN_1,9647,40.196,9647,0,0,0,0,0.0,507.31689997306125,40.0002,508.2815999728191,40.0006,40.1958,0.9647,0.0,0.9647,108.2816,0.0,0,0.0,0,0,0.0,0.0,0.0,192.94,0.0,0.0,1.0,1,0.4019583333333333
112,OV_2,MAIN_2,7123,29.679,7116,1,6,0,7,0.1,380.5768999797736,30.0072,381.2884999795949,30.0065,29.65,0.7116,0.0,0.7116,81.2885,0.0,0,0.0,0,0,0.0,0.0,0.0,142.46,0.0,0.0,0.9990172680050541,1,0.2967916666666667
112,OV_3,MAIN_3,7230,30.125,7230,0,0,0,0,0.0,380.3925999798198,29.9926,381.1155999796383,29.9929,30.125,0.723,0.0,0.723,81.1156,0.0,0,0.0,0,0,0.0,0.0,0.0,144.6,0.0,0.0,1.0,1,0.30125
113,OV_1,MAIN_1,9640,40.167,9597,32,0,11,43,0.45,508.2815999728191,40.0006,509.2412999725782,40.0007,39.9875,0.9597,0.0,0.9597,109.2413,0.0,0,0.0,0,0,0.0,0.0,0.0,192.8,0.0,0.0,0.995539419087137,1,0.40166666666666667
113,OV_2,MAIN_2,7259,30.246,7252,7,0,0,7,0.1,381.2884999795949,30.0065,382.0136999794129,30.007,30.2167,0.7252,0.0,0.7252,82.0137,0.0,0,0.0,0,0,0.0,0.0,0.0,145.18,0.0,0.0,0.9990356798457087,1,0.30245833333333333
113,OV_3,MAIN_3,7101,29.587,7101,0,0,0,0,0.0,381.1155999796383,29.9929,381.82569997946007,29.9923,29.5875,0.7101,0.0,0.7101,81.8257,0.0,0,0.0,0,0,0.0,0.0,0.0,142.02,0.0,0.0,1.0,1,0.295875
114,OV_1,MAIN_1,9529,39.704,9507,8,14,0,22,0.23,509.2412999725782,40.0007,510.19199997233954,40.0001,39.6125,0.9507,0.0,0.9507,110.192,0.0,0,0.0,0,0,0.0,0.0,0.0,190.58,0.0,0.0,0.997691258264246,1,0.3970416666666667
114,OV_2,MAIN_2,7225,30.104,7225,0,0,0,0,0.0,382.0136999794129,30.007,382.7361999792315,30.0073,30.1042,0.7225,0.0,0.7225,82.7362,0.0,0,0.0,0,0,0.0,0.0,0.0,144.5,0.0,0.0,1.0,1,0.30104166666666665
114,OV_3,MAIN_3,7246,30.192,7239,7,0,0,7,0.1,381.82569997946007,29.9923,382.5495999792784,29.9927,30.1625,0.7239,0.0,0.7239,82.5496,0.0,0,0.0,0,0,0.0,0.0,0.0,144.92000000000002,0.0,0.0,0.9990339497653878,1,0.30191666666666667
115,OV_1,MAIN_1,9495,39.562,9484,9,0,2,11,0.12,510.19199997233954,40.0001,511.1403999721015,39.9993,39.5167,0.9484,0.0,0.9484,111.1404,0.0,0,0.0,0,0,0.0,0.0,0.0,189.9,0.0,0.0,0.99884149552396,1,0.395625
115,OV_2,MAIN_2,7286,30.358,7249,15,4,18,37,0.51,382.7361999792315,30.0073,383.4610999790496,30.0078,30.2042,0.7249,0.0,0.7249,83.4611,0.0,0,0.0,0,0,0.0,0.0,0.0,145.72,0.0,0.0,0.9949217677738128,1,0.3035833333333333
115,OV_3,MAIN_3,7219,30.079,7219,0,0,0,0,0.0,382.5495999792784,29.9927,383.27149997909714,29.9929,30.0792,0.7219,0.0,0.7219,83.2715,0.0,0,0.0,0,0,0.0,0.0,0.0,144.38,0.0,0.0,1.0,1,0.3007916666666667
116,OV_1,MAIN_1,9610,40.042,9583,4,0,23,27,0.28,511.1403999721015,39.9993,512.0986999718609,39.9993,39.9292,0.9583,0.0,0.9583,112.0987,0.0,0,0.0,0,0,0.0,0.0,0.0,192.2,0.0,0.0,0.9971904266389178,1,0.40041666666666664
116,OV_2,MAIN_2,7208,30.033,7190,8,10,0,18,0.25,383.4610999790496,30.0078,384.18009997886907,30.0078,29.9583,0.719,0.0,0.719,84.1801,0.0,0,0.0,0,0,0.0,0.0,0.0,144.16,0.0,0.0,0.9975027746947835,1,0.30033333333333334
116,OV_3,MAIN_3,7182,29.925,7173,6,3,0,9,0.13,383.27149997909714,29.9929,383.9887999789171,29.9929,29.8875,0.7173,0.0,0.7173,83.9888,0.0,0,0.0,0,0,0.0,0.0,0.0,143.64,0.0,0.0,0.9987468671679198,1,0.29925
117,OV_1,MAIN_1,9653,40.221,9624,10,19,0,29,0.3,512.0986999718609,39.9993,513.0610999716193,39.9997,40.1,0.9624,0.0,0.9624,113.0611,0.0,0,0.0,0,0,0.0,0.0,0.0,193.06,0.0,0.0,0.9969957526157671,1,0.40220833333333333
117,OV_2,MAIN_2,7196,29.983,7184,2,3,7,12,0.17,384.18009997886907,30.0078,384.89849997868873,30.0078,29.9333,0.7184,0.0,0.7184,84.8985,0.0,0,0.0,0,0,0.0,0.0,0.0,143.92000000000002,0.0,0.0,0.9983324068927182,1,0.29983333333333334
117,OV_3,MAIN_3,7151,29.796,7143,0,2,6,8,0.11,383.9887999789171,29.9929,384.7030999787378,29.9925,29.7625,0.7143,0.0,0.7143,84.7031,0.0,0,0.0,0,0,0.0,0.0,0.0,143.02,0.0,0.0,0.9988812753461055,1,0.2979583333333333
118,OV_1,MAIN_1,9588,39.95,9565,1,0,22,23,0.24,513.0610999716193,39.9997,514.0175999713792,39.9995,39.8542,0.9565,0.0,0.9565,114.0176,0.0,0,0.0,0,0,0.0,0.0,0.0,191.76,0.0,0.0,0.9976011681268252,1,0.3995
118,OV_2,MAIN_2,7213,30.054,7213,0,0,0,0,0.0,384.89849997868873,30.0078,385.6197999785077,30.0079,30.0542,0.7213,0.0,0.7213,85.6198,0.0,0,0.0,0,0,0.0,0.0,0.0,144.26,0.0,0.0,1.0,1,0.30054166666666665
118,OV_3,MAIN_3,7199,29.996,7192,0,6,1,7,0.1,384.7030999787378,29.9925,385.4222999785573,29.9926,29.9667,0.7192,0.0,0.7192,85.4223,0.0,0,0.0,0,0,0.0,0.0,0.0,143.98,0.0,0.0,0.9990276427281567,1,0.2999583333333333
119,OV_1,MAIN_1,9570,39.875,9554,0,2,14,16,0.17,514.0175999713792,39.9995,514.9729999711394,39.9993,39.8083,0.9554,0.0,0.9554,114.973,0.0,0,0.0,0,0,0.0,0.0,0.0,191.4,0.0,0.0,0.9983281086729363,1,0.39875
119,OV_2,MAIN_2,7187,29.946,7169,0,18,0,18,0.25,385.6197999785077,30.0079,386.3366999783277,30.0078,29.8708,0.7169,0.0,0.7169,86.3367,0.0,0,0.0,0,0,0.0,0.0,0.0,143.74,0.0,0.0,0.9974954779462919,1,0.2994583333333333
119,OV_3,MAIN_3,7243,30.179,7234,9,0,0,9,0.12,385.4222999785573,29.9926,386.14569997837566,29.9929,30.1417,0.7234,0.0,0.7234,86.1457,0.0,0,0.0,0,0,0.0,0.0,0.0,144.86,0.0,0.0,0.9987574209581666,1,0.3017916666666667
120,OV_1,MAIN_1,9562,39.842,9542,19,0,1,20,0.21,514.9729999711394,39.9993,515.9271999708999,39.999,39.7583,0.9542,0.0,0.9542,115.9272,0.0,0,0.0,0,0,0.0,0.0,0.0,191.24,0.0,0.0,0.9979083873666597,1,0.39841666666666664
120,OV_2,MAIN_2,7250,30.208,7213,20,0,17,37,0.51,386.3366999783277,30.0078,387.05799997814665,30.008,30.0542,0.7213,0.0,0.7213,87.058,0.0,0,0.0,0,0,0.0,0.0,0.0,145.0,0.0,0.0,0.9948965517241379,1,0.3020833333333333
120,OV_3,MAIN_3,7188,29.95,7181,0,0,7,7,0.1,386.14569997837566,29.9929,386.8637999781954,29.993,29.9208,0.7181,0.0,0.7181,86.8638,0.0,0,0.0,0,0,0.0,0.0,0.0,143.76,0.0,0.0,0.9990261547022816,1,0.2995
121,OV_1,MAIN_1,9659,40.246,9599,0,24,36,60,0.62,515.9271999708999,39.999,516.8870999706589,39.9993,39.9958,0.9599,0.0,0.9599,116.8871,0.0,0,0.0,0,0,0.0,0.0,0.0,193.18,0.0,0.0,0.9937881768298996,1,0.4024583333333333
121,OV_2,MAIN_2,7280,30.333,7275,0,0,5,5,0.07,387.05799997814665,30.008,387.785499977964,30.0088,30.3125,0.7275,0.0,0.7275,87.7855,0.0,0,0.0,0,0,0.0,0.0,0.0,145.6,0.0,0.0,0.9993131868131868,1,0.30333333333333334
121,OV_3,MAIN_3,7061,29.421,7047,0,1,13,14,0.2,386.8637999781954,29.993,387.5684999780185,29.992,29.3625,0.7047,0.0,0.7047,87.5685,0.0,0,0.0,0,0,0.0,0.0,0.0,141.22,0.0,0.0,0.9980172780059482,1,0.29420833333333335
122,OV_1,MAIN_1,9647,40.196,9632,15,0,0,15,0.16,516.8870999706589,39.9993,517.8502999704172,39.9998,40.1333,0.9632,0.0,0.9632,117.8503,0.0,0,0.0,0,0,0.0,0.0,0.0,192.94,0.0,0.0,0.998445112470198,1,0.4019583333333333
122,OV_2,MAIN_2,7165,29.854,7148,0,0,17,17,0.24,387.785499977964,30.0088,388.5002999777846,30.0085,29.7833,0.7148,0.0,0.7148,88.5003,0.0,0,0.0,0,0,0.0,0.0,0.0,143.3,0.0,0.0,0.9976273551988835,1,0.29854166666666665
122,OV_3,MAIN_3,7188,29.95,7147,36,0,5,41,0.57,387.5684999780185,29.992,388.2831999778391,29.9917,29.7792,0.7147,0.0,0.7147,88.2832,0.0,0,0.0,0,0,0.0,0.0,0.0,143.76,0.0,0.0,0.9942960489705064,1,0.2995
123,OV_1,MAIN_1,9620,40.083,9561,35,0,24,59,0.61,517.8502999704172,39.9998,518.8063999701772,39.9997,39.8375,0.9561,0.0,0.9561,118.8064,0.0,0,0.0,0,0,0.0,0.0,0.0,192.4,0.0,0.0,0.9938669438669439,1,0.4008333333333333
123,OV_2,MAIN_2,7193,29.971,7187,0,0,6,6,0.08,388.5002999777846,30.0085,389.2189999776042,30.0086,29.9458,0.7187,0.0,0.7187,89.219,0.0,0,0.0,0,0,0.0,0.0,0.0,143.86,0.0,0.0,0.9991658556930348,1,0.29970833333333335
123,OV_3,MAIN_3,7187,29.946,7174,13,0,0,13,0.18,388.2831999778391,29.9917,389.000599977659,29.9917,29.8917,0.7174,0.0,0.7174,89.0006,0.0,0,0.0,0,0,0.0,0.0,0.0,143.74,0.0,0.0,0.9981911785167664,1,0.2994583333333333
